keys,en,de
### GENERAL ###,,
OK,OK,OK
YES,Yes,Ja
NO,No,Nein
CANCEL,Cancel,Abbrechen
### MAIN MENU ###,,
HEADER,The Final Quiz,Das Große Abschlussquiz
OPTIONS,Options,Optionen
OPTIONS_TIP,Tip: Hover over a label to find out more.,"Tipp: Fahren Sie mit der Maus über einen Eintrag, um mehr herauszufinden."
LANGUAGE,Language,Sprache
KEEP_SCREEN_ON,Keep screen on,Bildschirm wach halten
KEEP_SCREEN_ON_TOOLTIP,The app will prevent the screen from going to sleep.,"Die App wird verhindern, das der Bildschirm sich von selbst ausschaltet."
BACKUP_COUNT,Backup Count,Backup Anzahl
BACKUP_COUNT_TOOLTIP,"How many backups will be kept before the oldest one is deleted.\nEach time the main menu is loaded, a backup is created.\n0 means backups are disabled. -1 means unlimited backups are kept.","Wie viele Backups behalten werden, bevor die Ältesten gelöscht werden.\nJedes Mal wenn das Hauptmenu geladen wird, wird ein Backup erstellt.\n0 bedeutet, dass keine Backups erstellt werden.\n-1 bedeutet, dass unendlich viele Backups behalten werden."
VERSION_X,Version: {0},Version: {0}
CREDITS,Credits,Danksagungen
CLOSE,Close,Schließen
FAVORITES,Favorites,Favoriten
ALL,All,Alle
CREATE_QUIZ,Create Quiz,Quiz erstellen
IMPORT_QUIZ,Import Quiz,Quiz importieren
RESTORE_BACKUP,Restore Backup,Backup wiederherstellen
PLAY,Play,Spielen
MAKE_FAVORITE,Make favorite,Favoritisieren
REMOVE_FAVORITE,Remove favorite,Entfavoritisieren
EDIT,Edit,Bearbeiten
DUPLICATE,Duplicate,Duplizieren
EXPORT,Export,Exportieren
DELETE,Delete,Löschen
DOTS,...,...
X_QUESTIONS,{0} Questions,{0} Fragen
X_CATEGORIES,{0} Categories,{0} Kategorien
EXPORT_QUIZ_FILE,Export Quiz File,Quizdatei Exportieren
IMPORT_QUIZ_FILE,Import Quiz File,Quizdatei Importieren
RESTORE_QUIZ_FILE,Restore Quiz File from Backup,Quizdatei von Backup wiederherstellen
DELETE_QUIZ_CONFIRM_TITLE,Delete Quiz?,Quiz Löschen?
DELETE_QUIZ_CONFIRM_CONTENT,"Do you really want to delete this quiz?\nThis action can not be reverted.\nIf backups are activated, you may be able to restore it.",Möchten Sie das Quiz wirklich Löschen?\nDies kann nicht rückgängig gemacht werden.\nFalls Backups aktiviert sind können Sie es vielleicht wiederherstellen.
EXPORT_QUIZ_ERROR_TITLE,Error Exporting Quiz,Fehler beim Exportieren
EXPORT_QUIZ_ERROR_CONTENT,The following error occurred while exporting the quiz:\n\n{0}\n\nMake sure the path is writable and the file name is valid.,"Der folgende Fehler ist beim Exportieren aufgetreten:\n\n{0}\n\nStellen Sie sicher, dass der Pfad beschreibbar und der Dateiname gültig ist."
IMPORT_QUIZ_ERROR_TITLE,Error Importing Quiz,Fehler beim Importieren
IMPORT_QUIZ_ERROR_CONTENT,Failed to import the quiz. Are you sure this is a quiz file?,"Das Quiz konnte nicht importiert werden.\nSind Sie sich sicher, dass es sich um eine Quizdatei handelt?"
QUIZ_FILE,Quiz File,Quizdatei
GODOT_TEXT_RESOURCE,Godot Text Resource,Godot Textressource
### CREATE QUIZ ###,,
NEW_QUIZ,New Quiz,Neues Quiz
CREATE_QUIZ,Create Quiz,Quiz erstellen
EDIT_QUIZ,Edit Quiz,Quiz bearbeiten
GENERAL,General,Allgemein
CATEGORIES,Categories,Kategorien
QUESTIONS,Questions,Fragen
QUIZ_NAME,Quiz name:,Quiz Name:
ADD_CATEGORY,Add Category,Neue Kategorie
ADD_POINTS_STAGE,Add points stage,Neue Punkteetage
CATEGORY_X,Category {0},Kategorie {0}
CATEGORY_X_COLON,Category {0}:,Kategorie {0}:
POINT_STAGE_X_COLON,Point Stage {0}:,Punktestufe {0}:
DELETE_CATEGORY_CONFIRM_TITLE,Delete Category?,Kategorie Löschen?
DELETE_CATEGORY_CONFIRM_CONTENT,Are you sure you want to delete this category?\nAll questions associated with it will be removed.\nYou can also rename the category.\n\nTip: Press 'shift' to skip this message.,Möchten Sie diese Kategorie wirklich löschen?\nAlle zugehörigen Fragen werden ebenfalls entfernt.\nSie können die Kategorie auch umbenennen.\n\nTipp: Drücken Sie 'Shift' um diese Nachricht zu überspringen.
DELETE_POINT_STAGE_CONFIRM_TITLE,Delete Point Stage?,Punktestufe löschen?
DELETE_POINT_STAGE_CONFIRM_CONTENT,Are you sure you want to delete this point stage?\nAll questions associated with it will be removed.\n\nTip: Press 'shift' to skip this message.,Möchten Sie diese Punktestufe wirklich löschen?\nAlle zugehörigen Fragen werden ebenfalls entfernt.\n\nTipp: Drücken Sie 'Shift' um diese Nachricht zu überspringen.
MODE,Mode:,Modus:
MULTIPLE_CHOICE,Multiple Choice,Mehrfachauswahl
TOURNAMENT,Tournament,Turnier
TIME,Time:,Zeit:
TIME_TOOLTIP,Set to something other than 0 to add a time limit for the question.,Setzen Sie es auf etwas anderes als 0 um eine Zeitbegrenzung für die Frage festzulegen.
QUESTION_TEXT,Question text:,Fragentext:
PICTURE,Picture:,Bild:
CHOOSE,Choose,Auswählen
ANSWERS,Answers:,Antworten:
ANSWER_PLACEHOLDER,Answer text...,Antworttext...
EDIT_ANSWERS,Edit answers...,Antworten bearbeiten...
SUPPORTED_IMAGE_FILES,Supported Image Files,Unterstützte Bilddateien
SELECT_IMAGE,Select an Image,Wählen Sie ein Bild aus
LOAD_IMAGE_ERROR_TITLE,Error loading Image,Fehler beim Laden des Bildes
LOAD_IMAGE_ERROR_CONTENT,"The Image couldn't be loaded.\nEnsure that that it contains a supported Image format and the\nprogram has permissions to access it.\nIf that doesn't help, convert it to a different format.","Das Bild konnte nicht geladen werden.\nÜberprüfen Sie ob es sich um ein unterstütztes Format handelt\nund ob das Programm auf die Datei zugreifen darf.\nSollte das nicht helfen, konvertieren Sie es in ein anderes Format."
ANSWER_X,Answer {0}:,Antwort {0}:
CORRECT_ANSWER,Correct Answer,Richtige Antwort
SAVE,Save,Speichern
ADD_ANSWER,Add Answer,Neue Antwort
### PLAY QUIZ MENU ###,,
TEAM_NAMES,Holy Cungadero:The Fun Gang:Moss Finders:Trash Machine:Uncreative:Unmotivated:Not good but better,Heiliges Cungadero:Die Spaß Gang:Moos Finder:Müllmaschine:Unkreativ:Unmotiviert:Nicht gut sondern besser
NO_TEAM_NAME_FOUND,But none was found.,Es wurde keiner gefunden.
PLAY_QUIZ,Play Quiz,Quiz Spielen
START,Start,Starten
TEAMS,Teams:,Teams:
SHOW_QUESTIONS,Show questions,Fragen anzeigen
SHOW_QUESTIONS_TOOLTIP,"Show the question texts on the screen.\nOtherwise, they need to be read aloud by a presenter.","Zeige die Fragen auf dem Bildschirm an.\nAnsonsten müssen sie von einem Moderator vorgelesen werden."
SHOW_ANSWERS,Show answers,Antworten anzeigen
SHOW_ANSWERS_TOOLTIP,"Show the possible answers on the screen.\nOtherwise, they need to be read aloud by a presenter.\nAfter that, you can select whether it was answered correctly.","Zeige die Antwortmöglichkeiten auf dem Bildschirm an.\nAnsonsten müssen sie von einem Moderator vorgelesen werden.\nDanach können Sie auswählen, ob richtig geantwortet wurde."
PASS_QUESTIONS,Pass questions,Fragen weitergeben
POINTS_MULTIPLIER,Points multiplier:,Punktemultiplikator:.
PASS_QUESTIONS_TOOLTIP,"If a question was answered incorrectly, the next\nteam can try it for a portion of the points.","Wenn eine Frage falsch beantwortet wird, kann das nächste\nTeam sie für einen Teil der Punkte ebenfalls versuchen."
TEAM_X_COLON,Team {0}:,Team {0}:
TEAM_X,Team {0},Team {0}
GENERATE,Generate,Generieren
IMPOSSIBLE_QUESTION_DISTRIBUTION_TITLE,Impossible distribution of Questions,Unmögliche Fragenverteilung
IMPOSSIBLE_QUESTION_DISTRIBUTION_CONTENT,"Unfortunately, it is not possible to play {questions} questions with {teams} teams,\nso {remainder} questions are omitted at the end.\n\nDo you still want to continue?","Leider können bei {teams} Teams keine {questions} Fragen gespielt\nwerden, sodass am Ende {remainder} Fragen wegfallen.\n\nTrotzdem fortfahren?"
EMPTY_TEAM_NAMES_TITLE,Missing Team Names,Fehlende Teamnamen
EMPTY_TEAM_NAMES_CONTENT,"Not all teams have names, please add them.","Nicht alle Teams haben Namen,\nbitte fügen Sie diese hinzu."
DUPLICATE_TEAM_NAMES_TITLE,Duplicate Team Names,Doppelte Teamnamen
DUPLICATE_TEAM_NAMES_CONTENT,Some teams have the same name.\nPlease give every team a different name.,Manche Teams haben den gleichen Namen.\nBitte geben Sie jedem Team einen anderen Namen.
### PLAY QUIZ ###,,
STOP_GAME,Stop Game,Spiel Beenden
EDIT_MANUALLY,Edit manually,Manuell bearbeiten
HIDDEN_QUESTION,?,?
EXHAUSTED_QUESTION,X,X
QUESTION_INTRO,{category}\n{points} Points,{category}\n{points} Punkte
CATEGORY_POINTS,{category} ({points}),{category} ({points})
TOURNAMENT_QUESTION,Tournament Question!,Turnierfrage!
YOU_HAVE_X_SECONDS,You have {0} seconds!,Ihr habt {0} Sekunden Zeit!
CORRECT,Correct,Richtig
WRONG,Wrong,Falsch
NOBODY,Nobody,Niemand
CORRECT_STATES,Well done!:Not bad!:You nailed it!:That's right!,Gut gemacht!:Nicht schlecht!:Saubere Leistung!:Richtige Antwort!
CORRECT_SUB,You received {0} points!,Ihr erhaltet {0} Punkte!
CORRECT_SUB_SECRET,{0}$ were added to your bank account.,{0}€ wurden auf euer Konto überwiesen.
WRONG_STATES,That wasn't quite right.:Next time will be better!:A miss is a miss.:That's wrong!,Das war nicht ganz richtig.:Nächstes Mal wird besser!:Knapp daneben ist auch vorbei:Das ist leider falsch.
WRONG_SUB,You get nothing.,Ihr bekommt genau gar nichts.
WRONG_SUB_PASSING,Maybe {0} can do better?,Vielleicht kann es {0} besser?
TEAM_WON,{0} won!,{0} hat gewonnen!
TEAM_WON_SUB,{0} points were added to your score!,Eure Punktzahl wurde um {0} Punkte erhöht!
NOBODY_WON,Nobody won!,Niemand hat gewonnen!
NOBODY_WON_SUB,(However that is even possible...),(Wie auch immer das überhaupt möglich ist...)
X,X,X
NEXT_UP,Next up:\n{0},Als nächstes:\n{0}
TIME_UP,Time's up!,Die Zeit ist um!
TEAM_TURN,It's {0}'s turn!,{0} ist an der Reihe!
